test_score,train_score,dataset_name,dataset_id,device,seed,epochs,nr_workers,slurm,partition,slurm_job_time_secs
0.916414904330312,1.0,waveform-5000,60,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9283088235294118,0.9944838455476752,spambase,44,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8128993780352731,0.8742666666666666,electricity,151,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9906937394247038,0.9985493230174082,meta_stream_intervals.arff,279,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7806244995996797,0.8486096807415036,abalone,720,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9360201511335012,0.99200691294016,bank8FM,725,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9077685950413223,0.9288649567805016,pol,722,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8618816128109809,0.9979164113249172,ailerons,734,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8374,0.9777333333333332,covertype,293,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9538,0.9714666666666668,poker,354,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9623,0.9900666666666668,codrna,351,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8428333333333333,0.9893333333333332,vehicle_sensIT,357,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9112306657700068,0.9896163830400924,cpu_small,735,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8497297297297297,0.9221140472878998,space_ga,737,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9307768924302788,0.9643467122117848,delta_ailerons,803,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9199731002017484,0.9971156619555812,cpu_act,761,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8062934205149163,0.9887896304081276,puma8NH,816,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8757042253521127,0.9205917874396136,delta_elevators,819,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8542129972819372,0.9975638173922254,house_16H,821,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9835483267900542,0.9939899030371024,houses,823,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8443600867678959,0.99814039981404,wind,847,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7706422018348624,1.0,bank32nh,833,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8720363754465735,0.9821751845146915,elevators,846,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.4865800865800865,0.6650575566282956,pollen,871,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9958720330237358,0.9995573262505534,JapaneseVowels,976,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8342967244701349,0.9220600385568714,kdd_ipums_la_97-small,993,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.6537242472266244,0.842391304347826,jm1,1053,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5843188786684187,0.9984976525821596,eye_movements,1044,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
1.0,1.0,KDDCup99,1113,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7568544102019129,0.7900154869272115,adult-census,1119,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8492399700971841,0.95888070063014,MagicTelescope,1120,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5568600368324125,0.6039857932123125,letter-challenge-unlabeled.arff,1222,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9625666666666668,0.9868,codrnaNorm,1241,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
1.0,1.0,KDDCup99_full,1110,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.782608695652174,0.8716909778498109,bank-marketing,1461,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8421666666666666,0.9907333333333334,vehicleNorm,1242,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9912629070691024,0.9972742759795572,wall-robot-navigation,1526,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8581932773109243,0.9301801801801802,phoneme,1489,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.964849031095088,1.0,twonorm,1507,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9982915717539864,0.999755859375,gas-drift,1476,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9971526195899773,0.999755859375,gas-drift-different-concentrations,1477,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9586930760115118,0.9962992525941514,nomao,1486,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
1.0,1.0,har,1478,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5829333333333333,0.9814666666666668,spoken-arabic-digit,1503,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7567470742775256,0.7817333333333333,adult,1590,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7691561590688651,0.9975031210986268,Bioresponse,4134,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5998666666666667,0.9220666666666668,Diabetes130US,4541,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5061666666666667,0.9992666177745184,numerai28.6,23517,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
1.0,1.0,shuttle,40685,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9983333333333332,1.0,Devnagari-Script,40923,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.922626788036411,1.0,sylvine,41146,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5746,0.9352666666666668,albert,41147,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9122666666666668,0.98,MiniBooNE,41150,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.6211923005045786,0.8835402482979575,kick,41162,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
1.0,1.0,dilbert,41163,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.989674048270714,1.0,volkert,41166,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7307666666666667,1.0,jannis,41168,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9624591947769314,0.9995335820895522,helena,41169,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.654275092936803,0.6718202103920944,microaggregation2,41671,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9194407456724368,0.9985722444317532,Indian_pines,41972,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5271390097368966,0.9218666666666666,porto-seguro,42206,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.525723769131477,0.9986564451118312,KDD98,42343,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7388871249404667,1.0,SantanderCustomerSatisfaction,42395,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.688598694123556,0.8793326157158234,default-of-credit-card-clients,42477,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8914666666666666,0.9591333333333332,hls4ml_lhc_jets_hlf,42468,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.661,1.0,Higgs,42769,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7781,0.8127333333333333,Census-(Augmented),43489,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7577268195413759,0.7717753654158475,credit,44089,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8900016152479405,0.9322162985529322,california,44090,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.7979139504563233,0.9837716843872412,wine,44091,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.8690944881889764,1.0,waveform-5000,979,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
1.0,1.0,KDDCup99,42746,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.5266728817070644,1.0,porto-seguro,42742,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
0.9691969196919692,1.0,fabert,41164,cuda,1,105,10,True,alldlc_gpu-rtx2080,6025
